movieId,title,genres,Director,Rotten Tomatoes,imdbRatings,imdbVotes
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,Yimou Zhang,9.1,7.1,6014
31,Dangerous Minds (1995),Drama,John N. Smith,4.06,6.5,56884
34,Babe (1995),Children|Drama,Chris Noonan,9.73,6.9,133674
35,Carrington (1995),Drama|Romance,Christopher Hampton,5.86,6.8,5728
36,Dead Man Walking (1995),Crime|Drama,Tim Robbins,9.55,7.5,101664
38,It Takes Two (1995),Children|Comedy,Andy Tennant,1,5.9,24628
39,Clueless (1995),Comedy|Romance,Amy Heckerling,7.21,6.9,245669
40,"Cry, the Beloved Country (1995)",Drama,Darrell Roodt,8.65,6.8,2016
41,Richard III (1995),Drama|War,Richard Loncraine,9.64,7.3,15499
42,Dead Presidents (1995),Action|Crime|Drama,"Albert Hughes, Allen Hughes",5.41,6.9,24257
43,Restoration (1995),Drama,Michael Hoffman,7.39,6.6,9874
44,Mortal Kombat (1995),Action|Adventure|Fantasy,Simon McQuoid,5.95,6,189925
45,To Die For (1995),Comedy|Drama|Thriller,Gus Van Sant,9.01,6.8,52383
46,How to Make an American Quilt (1995),Drama|Romance,Jocelyn Moorhouse,6.67,6.3,12475
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,Akira Kurosawa,10,8.6,365525
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,"Mike Gabriel, Eric Goldberg",5.77,6.7,202411
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,Bryan Singer,8.65,8.5,1141071
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,Woody Allen,8.02,7,42490
54,"Big Green, The (1995)",Children|Comedy,Holly Goldberg Sloan,5.95,5.5,10864
55,Georgia (1995),Drama,Ulu Grosbard,8.29,6.5,3300
57,Home for the Holidays (1995),Drama,Jodie Foster,6.76,6.6,14533
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,Frank Oz,6.4,6,30970
61,Eye for an Eye (1996),Drama|Thriller,John Schlesinger,6.58,6.2,18793
62,Mr. Holland's Opus (1995),Drama,Stephen Herek,7.75,7.3,41626
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,Paris Barclay,3.88,6.5,61307
64,Two if by Sea (1996),Comedy|Romance,Bill Bennett,2.17,5.3,6280
65,Bio-Dome (1996),Comedy,Jason Bloom,1,4.4,29509
68,French Twist (Gazon maudit) (1995),Comedy|Romance,Josiane Balasko,6.58,6.4,5349
69,Friday (1995),Comedy,F. Gary Gray,7.48,7.2,123986
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,Robert Rodriguez,6.67,7.2,339040
71,Fair Game (1995),Action,Doug Liman,8.11,6.8,50891
72,Kicking and Screaming (1995),Comedy|Drama,Noah Baumbach,6.13,6.7,14994
74,Bed of Roses (1996),Drama|Romance,Michael Goldenberg,2.71,6.1,8742
75,Big Bully (1996),Comedy|Drama,Steve Miner,1,4.8,5545
76,Screamers (1995),Action|Sci-Fi|Thriller,Christian Duguay,3.61,6.3,29347
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,Sean Penn,6.67,6.3,14312
79,"Juror, The (1996)",Drama|Thriller,Brian Gibson,6.13,5.7,19825
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,Gary Fleder,4.33,6.7,29662
82,Antonia's Line (Antonia) (1995),Comedy|Drama,Marleen Gorris,7.21,7.4,9403
85,Angels and Insects (1995),Drama|Romance,Philip Haas,7.12,6.8,4836
86,White Squall (1996),Action|Adventure|Drama,Ridley Scott,6.13,6.6,25388
87,Dunston Checks In (1996),Children|Comedy,Ken Kwapis,2.53,5.3,13373
88,Black Sheep (1996),Comedy,Penelope Spheeris,3.52,6.2,43541
89,Nick of Time (1995),Action|Thriller,John Badham,3.7,6.3,44951
92,Mary Reilly (1996),Drama|Horror|Thriller,Stephen Frears,3.34,5.8,15731
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,Wes Craven,1.99,4.6,25075
94,Beautiful Girls (1996),Comedy|Drama|Romance,Ted Demme,8.02,7.1,34605
95,Broken Arrow (1996),Action|Adventure|Thriller,John Woo,5.86,6.1,105051
97,"Hate (Haine, La) (1995)",Crime|Drama,Gil Junger,7.39,7.3,384170
100,City Hall (1996),Drama|Thriller,Harold Becker,6.22,6.2,22240
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,Wes Anderson,8.74,6.9,82916
104,Happy Gilmore (1996),Comedy,Dennis Dugan,7.3,7,247169
105,"Bridges of Madison County, The (1995)",Drama|Romance,Clint Eastwood,6.58,7.6,88805
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,Brian Henson,7.03,6.9,26444
110,Braveheart (1995),Action|Drama|War,Mel Gibson,8.47,8.3,1090020
111,Taxi Driver (1976),Crime|Drama|Thriller,Martin Scorsese,7.84,8.2,918835
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,Stanley Tong,9.01,6.7,45914
113,Before and After (1996),Drama|Mystery,Barbet Schroeder,8.2,6.1,9880
116,Anne Frank Remembered (1995),Documentary,Jon Blair,8.29,8.1,1272
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,Benjamin Ross,9.73,7,3810
118,If Lucy Fell (1996),Comedy|Romance,Eric Schaeffer,5.41,4.9,4294
121,"Boys of St. Vincent, The (1992)",Drama,John N. Smith,2.98,7.5,1940
122,Boomerang (1992),Comedy|Romance,Reginald Hudlin,6.04,5.6,31160
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,Kar-Wai Wong,5.32,8,95065
125,Flirting With Disaster (1996),Comedy,David O. Russell,7.03,6.7,19872
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,Peter MacDonald,8.92,3.2,12431
132,Jade (1995),Thriller,William Friedkin,6.4,5.3,14025
135,Down Periscope (1996),Comedy,David S. Ward,6.58,6.2,26641
141,"Birdcage, The (1996)",Comedy,Mike Nichols,6.76,7.2,100134
144,"Brothers McMullen, The (1995)",Comedy,Edward Burns,10,6.6,8157
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,Michael Bay,7.12,6.8,286205
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,Christopher Cain,6.13,5.7,4389
147,"Basketball Diaries, The (1995)",Drama,Scott Kalvert,4.87,7.3,120508
149,Amateur (1994),Crime|Drama|Thriller,Hal Hartley,7.12,6.8,7075
150,Apollo 13 (1995),Adventure|Drama|IMAX,Ron Howard,7.93,7.7,314668
151,Rob Roy (1995),Action|Drama|Romance|War,Michael Caton-Jones,8.11,6.9,45534
152,"Addiction, The (1995)",Drama|Horror,Abel Ferrara,9.64,6.4,11456
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,Joel Schumacher,7.57,5.4,265788
155,Beyond Rangoon (1995),Adventure|Drama|War,John Boorman,4.69,6.5,5413
156,Blue in the Face (1995),Comedy|Drama,"Paul Auster, Wayne Wang, Harvey Wang",6.94,6.6,10076
157,Canadian Bacon (1995),Comedy|War,Michael Moore,4.15,5.9,17928
158,Casper (1995),Adventure|Children,Brad Silberling,4.87,6.2,146429
159,Clockers (1995),Crime|Drama|Mystery,Spike Lee,2.53,6.9,23368
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,Frank Marshall,5.68,5.3,48508
161,Crimson Tide (1995),Drama|Thriller|War,Tony Scott,7.66,7.3,122782
162,Crumb (1994),Documentary,Terry Zwigoff,2.8,8,21547
163,Desperado (1995),Action|Romance|Western,Robert Rodriguez,9.01,7.1,197219
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,Carl Franklin,9.55,6.8,23543
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,John McTiernan,7.3,7.6,408016
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,Gregg Araki,9.28,6.1,17790
168,First Knight (1995),Action|Drama|Romance,Jerry Zucker,6.4,6,78394
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,Dwight H. Little,6.4,5.1,19529
170,Hackers (1995),Action|Adventure|Crime|Thriller,Iain Softley,4.87,6.2,74417
171,Jeffrey (1995),Comedy|Drama,Christopher Ashley,5.5,6.8,6691
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,Robert Longo,3.97,5.6,76153
173,Judge Dredd (1995),Action|Crime|Sci-Fi,Danny Cannon,7.3,5.6,124658
175,Kids (1995),Drama,Larry Clark,2.62,7,84184
176,Living in Oblivion (1995),Comedy,Tom DiCillo,2.98,7.5,20038
177,Lord of Illusions (1995),Horror,Clive Barker,6.4,6,19087
178,Love & Human Remains (1993),Comedy|Drama,Gaspar Noé,5.14,6.1,66298
179,Mad Love (1995),Drama|Romance,Antonia Bird,8.74,5.3,6937
180,Mallrats (1995),Comedy|Romance,Kevin Smith,6.22,7,128348
182,Moonlight and Valentino (1995),Drama|Romance,David Anspaugh,6.13,5.7,4016
183,Mute Witness (1994),Comedy|Horror|Thriller,Anthony Waller,6.22,6.7,6291
186,Nine Months (1995),Comedy|Romance,Chris Columbus,2.35,5.5,38594
187,Party Girl (1995),Comedy,Daisy von Scherler Mayer,8.47,6.5,6683
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,Gregory Widen,6.76,6.4,33344
190,Safe (1995),Thriller,Boaz Yakin,6.85,6.5,117209
191,"Scarlet Letter, The (1995)",Drama|Romance,Roland Joffé,3.43,5.3,16267
193,Showgirls (1995),Drama,Paul Verhoeven,5.59,5.1,74142
194,Smoke (1995),Comedy|Drama,Wayne Wang,7.66,7.4,38014
195,Something to Talk About (1995),Comedy|Drama|Romance,Lasse Hallström,6.4,5.7,15694
196,Species (1995),Horror|Sci-Fi,Roger Donaldson,6.31,5.9,85068
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,Kathryn Bigelow,2.98,7.2,78396
202,Total Eclipse (1995),Drama|Romance,Agnieszka Holland,6.85,6.5,16647
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,Beeban Kidron,7.12,6.7,36043
204,Under Siege 2: Dark Territory (1995),Action,Geoff Murphy,5.95,5.5,50017
205,Unstrung Heroes (1995),Comedy|Drama,Diane Keaton,7.03,6.7,3267
206,Unzipped (1995),Documentary,Douglas Keeve,2.17,6.4,1179
208,Waterworld (1995),Action|Adventure|Sci-Fi,Kevin Reynolds,5.32,6.3,209830
209,White Man's Burden (1995),Drama,Desmond Nakano,4.06,5.3,5143
210,Wild Bill (1995),Western,Dexter Fletcher,7.75,7.2,14565
211,"Browning Version, The (1994)",Drama,Anthony Asquith,8.02,8.1,5417
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,Greg Beeman,6.04,5.6,6861
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,Nikita Mikhalkov,5.23,7.8,16217
214,Before the Rain (Pred dozhdot) (1994),Drama|War,Milcho Manchevski,3.16,7.9,15768
215,Before Sunrise (1995),Drama|Romance,Richard Linklater,10,8.1,338005
216,Billy Madison (1995),Comedy,Tamra Davis,6.67,6.3,155870
217,"Babysitter, The (1995)",Drama|Thriller,McG,2.9,4.3,108041
218,Boys on the Side (1995),Comedy|Drama,Herbert Ross,8.29,6.5,14001
219,"Cure, The (1995)",Drama,Peter Horton,9.28,7.7,10619
222,Circle of Friends (1995),Drama|Romance,Pat O'Connor,4.6,6.6,9209
223,Clerks (1994),Comedy,Kevin Smith,7.93,7.7,231759
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,Jeremy Leven,7.57,6.7,53149
225,Disclosure (1994),Drama|Thriller,Barry Levinson,6.58,6.2,54229
227,Drop Zone (1994),Action|Thriller,John Badham,8.02,5.6,21485
228,Destiny Turns on the Radio (1995),Comedy,Jack Baran,9.1,4.5,2534
229,Death and the Maiden (1994),Drama|Thriller,Roman Polanski,7.48,7.2,26538
230,Dolores Claiborne (1995),Drama|Thriller,Taylor Hackford,6.31,7.4,47856
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,Ang Lee,8.02,7.8,23129
233,Exotica (1994),Drama,Atom Egoyan,4.51,7,21002
234,Exit to Eden (1994),Comedy,Garry Marshall,2.44,4.2,7322
235,Ed Wood (1994),Comedy|Drama,Tim Burton,8.38,7.8,183707
236,French Kiss (1995),Action|Comedy|Romance,Lawrence Kasdan,8.65,6.6,52950
237,Forget Paris (1995),Comedy|Romance,Billy Crystal,6.85,6.5,12990
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,Phillip Borsos,8.92,6.3,3244
240,Hideaway (1995),Thriller,Brett Leonard,2.1,5.3,7450
241,Fluke (1995),Children|Drama,Carlo Carlei,9.28,6.6,7412
243,Gordy (1995),Children|Comedy|Fantasy,Mark Lewis,5.5,3.8,2067
246,Hoop Dreams (1994),Documentary,Steve James,9.8,8.3,27904
247,Heavenly Creatures (1994),Crime|Drama,Peter Jackson,3.79,7.3,67198
248,Houseguest (1994),Comedy,Randall Miller,6.31,5.9,7462
249,Immortal Beloved (1994),Drama|Romance,Bernard Rose,2.89,7.4,26132
250,Heavyweights (Heavy Weights) (1995),Children|Comedy,Steven Brill,2.8,6.6,30607
252,I.Q. (1994),Comedy|Romance,Fred Schepisi,9.82,6.2,26558
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,Neil Jordan,9.55,7.5,346501
254,Jefferson in Paris (1995),Drama,James Ivory,2.53,5.7,3174
255,"Jerky Boys, The (1995)",Comedy,James Melkonian,6.13,4.7,2785
256,Junior (1994),Comedy|Sci-Fi,Ivan Reitman,4.42,4.7,72777
257,Just Cause (1995),Mystery|Thriller,Arne Glimcher,6.76,6.4,29419
259,Kiss of Death (1995),Crime|Drama|Thriller,Barbet Schroeder,6.67,5.9,20137
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,George Lucas,3.79,8.6,1442969
261,Little Women (1994),Drama,Greta Gerwig,8.02,7.8,244135
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,Alfonso Arau,7.12,7.1,18762
266,Legends of the Fall (1994),Drama|Romance|War|Western,Edward Zwick,9.37,7.5,182293
267,Major Payne (1995),Comedy,Nick Castle,9.55,6.3,38956
268,Little Odessa (1994),Crime|Drama,James Gray,7.03,6.7,8921
270,Love Affair (1994),Drama|Romance,Leo McCarey,7.75,7.3,6373
271,Losing Isaiah (1995),Drama,Stephen Gyllenhaal,6.76,6.4,6489
272,"Madness of King George, The (1994)",Comedy|Drama,Nicholas Hytner,8.92,7.2,18306
274,Man of the House (1995),Comedy,Stephen Herek,3.61,5.4,25203
275,Mixed Nuts (1994),Comedy,Nora Ephron,5.77,5.4,13497
276,Milk Money (1994),Comedy|Romance,Richard Benjamin,6.04,5.6,12997
277,Miracle on 34th Street (1994),Drama,George Seaton,9.28,7.9,54858
278,Miami Rhapsody (1995),Comedy,David Frankel,5.05,5.4,3503
280,Murder in the First (1995),Drama|Thriller,Marc Rocco,7.57,7.3,30343
281,Nobody's Fool (1994),Comedy|Drama|Romance,Robert Benton,7.57,7.3,22500
282,Nell (1994),Drama,Michael Apted,6.4,6.5,30765
288,Natural Born Killers (1994),Action|Crime|Thriller,Oliver Stone,5.86,7.2,251669
289,Only You (1994),Comedy|Romance,Norman Jewison,9.19,6.5,25427
290,Once Were Warriors (1994),Crime|Drama,Lee Tamahori,6.13,7.9,36482
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,Wolfgang Petersen,6.76,6.6,137708
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,Luc Besson,8.65,8.5,1244084
294,"Perez Family, The (1995)",Comedy|Romance,Mira Nair,6.4,6,2414
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,Quentin Tarantino,9.2,8.9,2214670
299,Priest (1994),Drama,Scott Stewart,9.37,5.7,123920
300,Quiz Show (1994),Drama,Robert Redford,6.31,7.5,72817
301,Picture Bride (Bijo photo) (1994),Drama|Romance,Kayo Hatta,7.66,6.6,1181
302,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance,Patrice Chéreau,7.66,7.4,18884
303,"Quick and the Dead, The (1995)",Action|Thriller|Western,Sam Raimi,6.85,6.5,102560
304,Roommates (1995),Comedy|Drama,Peter Yates,9.28,6.4,1984
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,Robert Altman,3.25,5.2,15842
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,Krzysztof Kieslowski,10,8.1,109337
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,Krzysztof Kieslowski,2.35,7.8,110060
308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama,Krzysztof Kieslowski,9.73,7.6,79200
312,Stuart Saves His Family (1995),Comedy,Harold Ramis,3.61,5.3,2958
313,"Swan Princess, The (1994)",Animation|Children,Richard Rich,3.16,6.4,26984
314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery,John Sayles,10,7.4,9828
315,"Specialist, The (1994)",Action|Drama|Thriller,Luis Llosa,9.82,5.6,69622
316,Stargate (1994),Action|Adventure|Sci-Fi,Roland Emmerich,9.01,7,204177
317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy,John Pasquin,6.94,6.6,133054
318,"Shawshank Redemption, The (1994)",Crime|Drama,Frank Darabont,9.37,9.3,2879728
319,Shallow Grave (1994),Comedy|Drama|Thriller,Danny Boyle,7.57,7.3,66210
322,Swimming with Sharks (1995),Comedy|Drama,George Huang,7.3,7,24931
324,"Sum of Us, The (1994)",Comedy|Drama,"Geoff Burton, Kevin Dowling",7.57,7.3,5792
325,National Lampoon's Senior Trip (1995),Comedy,Kelly Makin,5.86,5.6,6300
326,To Live (Huozhe) (1994),Drama,Yimou Zhang,8.47,8.3,20319
327,Tank Girl (1995),Action|Comedy|Sci-Fi,Rachel Talalay,5.86,5.4,34662
329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,David Carson,7.39,6.6,86819
330,Tales from the Hood (1995),Action|Crime|Horror,Rusty Cundieff,6.85,6.5,9472
331,Tom & Viv (1994),Drama,Don Tjernagel,7.84,5.8,1882
332,Village of the Damned (1995),Horror|Sci-Fi,John Carpenter,6.04,5.6,34021
333,Tommy Boy (1995),Comedy,Peter Segal,4,7.1,96916
334,Vanya on 42nd Street (1994),Drama,Louis Malle,8.83,7.3,5118
337,What's Eating Gilbert Grape (1993),Drama,Lasse Hallström,7.93,7.7,252757
338,Virtuosity (1995),Action|Sci-Fi|Thriller,Brett Leonard,5.32,5.5,32261
339,While You Were Sleeping (1995),Comedy|Romance,Jon Turteltaub,6.22,6.8,113302
340,"War, The (1994)",Adventure|Drama|War,Jon Avnet,7.03,6.7,13431
342,Muriel's Wedding (1994),Comedy,P.J. Hogan,4.6,7.2,41460
343,"Baby-Sitters Club, The (1995)",Children,Melanie Mayron,9.01,5.7,6199
344,Ace Ventura: Pet Detective (1994),Comedy,Tom Shadyac,7.21,6.9,323799
346,Backbeat (1993),Drama|Musical,Iain Softley,6.94,6.6,6575
347,Bitter Moon (1992),Drama|Film-Noir|Romance,Roman Polanski,9.1,7.2,42556
348,Bullets Over Broadway (1994),Comedy,Woody Allen,3.88,7.4,41370
349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,Phillip Noyce,8.29,6.9,107855
350,"Client, The (1994)",Drama|Mystery|Thriller,Joel Schumacher,7.03,6.7,73002
351,"Corrina, Corrina (1994)",Comedy|Drama|Romance,Jessie Nelson,7.75,6.6,14143
352,Crooklyn (1994),Comedy|Drama,Spike Lee,8.29,7,11173
353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller,Alex Proyas,7.75,7.5,201734
354,Cobb (1994),Drama,Ron Shelton,5.23,6.4,8118
355,"Flintstones, The (1994)",Children|Comedy|Fantasy,Brian Levant,5.5,5,86229
356,Forrest Gump (1994),Comedy|Drama|Romance|War,Robert Zemeckis,7.12,8.8,2244826
357,Four Weddings and a Funeral (1994),Comedy|Romance,Mike Newell,6.67,7.1,165372
358,Higher Learning (1995),Drama,John Singleton,9.55,6.5,21499
360,I Love Trouble (1994),Action|Comedy,Charles Shyer,10,5.3,12522
361,It Could Happen to You (1994),Comedy|Drama|Romance,Andrew Bergman,4.33,6.4,44431
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,"Roger Allers, Rob Minkoff",8.65,8.5,1135709
365,Little Buddha (1993),Drama,Bernardo Bertolucci,6.85,6.1,17916
367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,Chuck Russell,7.84,6.9,420380
368,Maverick (1994),Adventure|Comedy|Western,Richard Donner,9.28,7,118652
369,Mrs. Parker and the Vicious Circle (1994),Drama,Alan Rudolph,5.14,6.4,4854
370,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy,Peter Segal,9.01,6.5,111796
371,"Paper, The (1994)",Comedy|Drama,Ron Howard,2.98,6.7,14969
372,Reality Bites (1994),Comedy|Drama|Romance,Ben Stiller,7.48,6.6,53612
373,Red Rock West (1992),Thriller,John Dahl,7.3,7,25167
374,Richie Rich (1994),Children|Comedy,Donald Petrie,5.86,5.4,73299
376,"River Wild, The (1994)",Action|Thriller,Curtis Hanson,6.85,6.5,50006
377,Speed (1994),Action|Romance|Thriller,Jan de Bont,7.57,7.3,389939
379,Timecop (1994),Action|Sci-Fi|Thriller,Peter Hyams,7.84,5.9,63835
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,James Cameron,7.12,7.3,279591
381,When a Man Loves a Woman (1994),Drama|Romance,Luis Mandoki,7.84,6.5,23496
382,Wolf (1994),Drama|Horror|Romance|Thriller,Mike Nichols,6.22,6.3,60110
383,Wyatt Earp (1994),Western,Lawrence Kasdan,7.03,6.7,54669
384,Bad Company (1995),Action|Crime|Drama,Joel Schumacher,6.67,5.6,49929
390,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama,Russ Meyer,9.55,6.6,15987
393,Street Fighter (1994),Action|Adventure|Fantasy,Steven E. de Souza,7.39,4,75104
407,In the Mouth of Madness (1995),Horror|Thriller,John Carpenter,5.9,7.1,79287
408,8 Seconds (1994),Drama,John G. Avildsen,6.94,6.6,5714
409,Above the Rim (1994),Crime|Drama,Jeff Pollack,2.98,6.6,17029
410,Addams Family Values (1993),Children|Comedy|Fantasy,Barry Sonnenfeld,7.12,6.8,108822
412,"Age of Innocence, The (1993)",Drama,Martin Scorsese,8.92,7.2,67742
413,Airheads (1994),Comedy,Michael Lehmann,6.58,6.2,55932
414,"Air Up There, The (1994)",Comedy,Paul Michael Glaser,6.04,5.6,9476
415,Another Stakeout (1993),Comedy|Thriller,John Badham,6.04,5.6,15323
416,Bad Girls (1994),Western,Jonathan Kaplan,5.41,5.2,13510
417,Barcelona (1994),Comedy|Romance,Whit Stillman,7.3,7,6631
419,"Beverly Hillbillies, The (1993)",Comedy,Penelope Spheeris,5.5,5,19818
420,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller,John Landis,5.95,5.5,87503
421,Black Beauty (1994),Adventure|Children|Drama,Caroline Thompson,8.38,6.6,10648
422,Blink (1994),Thriller,Michael Apted,6.31,6.2,9110
423,Blown Away (1994),Action|Thriller,Stephen Hopkins,3.79,6.2,33622
424,Blue Chips (1994),Drama,William Friedkin,5.5,6.3,14973
425,Blue Sky (1994),Drama|Romance,Tony Richardson,7.75,6.4,8093
426,Body Snatchers (1993),Horror|Sci-Fi|Thriller,Abel Ferrara,5.05,6,21229
427,Boxing Helena (1993),Drama|Mystery|Romance|Thriller,Jennifer Lynch,5.23,4.7,13061
429,Cabin Boy (1994),Comedy,Adam Resnick,5.77,5.3,9152
431,Carlito's Way (1993),Crime|Drama,Brian De Palma,2.17,7.9,232273
432,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western,Paul Weiland,8.29,5.6,20719
433,Clean Slate (1994),Comedy,Bertrand Tavernier,7.66,7.4,6680
434,Cliffhanger (1993),Action|Adventure|Thriller,Renny Harlin,6.85,6.5,139481
435,Coneheads (1993),Comedy|Sci-Fi,Steve Barron,3.5,5.4,57877
436,Color of Night (1994),Drama|Thriller,Richard Rush,5.68,5.2,25685
437,Cops and Robbersons (1994),Comedy,Michael Ritchie,7.03,5.2,7472
438,"Cowboy Way, The (1994)",Action|Comedy|Drama,Gregg Champion,4.51,5.9,9001
440,Dave (1993),Comedy|Romance,Ivan Reitman,8.2,6.9,56695
441,Dazed and Confused (1993),Comedy,Richard Linklater,7.39,7.6,198329
442,Demolition Man (1993),Action|Adventure|Sci-Fi,Marco Brambilla,2.53,6.7,192563
443,"Endless Summer 2, The (1994)",Adventure|Documentary,Bruce Brown,7.84,7.6,2203
444,Even Cowgirls Get the Blues (1993),Comedy|Romance,Gus Van Sant,5.32,4.3,7781
445,Fatal Instinct (1993),Comedy,Carl Reiner,1.7,5.7,8017
446,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance,Kaige Chen,8.56,8.1,32607
448,Fearless (1993),Drama,Ronny Yu,8.74,7.6,78572
449,Fear of a Black Hat (1994),Comedy,Rusty Cundieff,7.12,7.2,4556
450,With Honors (1994),Comedy|Drama,Alek Keshishian,4.15,6.7,15856
